,galaxy_id,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,is_AGN
234,8439-12705,0.528546620915,0.528546620915,5.1405640747,5.1405640747,278.629625132,278.629625132,1.22491349481,1.0
235,8439-6104,1.06052087818,1.06052087818,5.03102496007,5.03102496007,380.948836626,380.948836626,1.31105398458,1.0
236,8440-12704,0.794481300973,0.794481300973,12.851468352,12.851468352,276.746477672,276.746477672,1.27075351213,1.0
237,8447-6101,5.66156864758,5.66156864758,-2.68053599542,-2.68053599542,307.790803204,307.790803204,1.28015564202,1.0
238,8447-9102,2.37595756193,2.37595756193,90.929196881,90.929196881,340.680228098,340.680228098,1.4335443038,1.0
239,8450-6101,0.602151774013,0.602151774013,30.625705265,30.625705265,271.700283468,271.700283468,1.19185591229,1.0
240,8452-6102,0.524381397809,0.524381397809,15.4631231308,15.4631231308,273.126589695,273.126589695,1.28883495146,1.0
241,8454-9102,0.631971995969,0.631971995969,36.8452337231,36.8452337231,239.542778072,239.542778072,1.34418604651,1.0
242,8464-12702,0.267389208854,0.267389208854,42.5176598683,42.5176598683,259.847729876,259.847729876,1.22935779817,1.0
243,8465-9101,0.503243325163,0.503243325163,27.5303622452,27.5303622452,268.72156066,268.72156066,1.17283950617,1.0
